 ,Tidak bisa diubah,,,,,Informasi SKU,,,,
Error Message,Product ID,Nama Produk,URL,Total Stok,Stok Campaign,Stok Utama*,SKU Name,Status*,Harga (Rp)*,
Abaikan kolom ini. Kolom akan menampilkan pesan jika ada kesalahan setelah kamu melakukan upload produk.,"Abaikan kolom ini. Jangan ubah ID Produkmu. 

Jika kamu ubah dan masukkan ID produk lain yang benar, ID produk akan berubah. Namun, jika kamu ubah dan masukkan ID produk yang salah, informasi akan diabaikan.",Jangan ubah Nama Produk. Setiap ada perubahan yang kamu buat pada nama produk akan diabaikan.,URL tidak dapat diubah. Perubahan di URL akan diabaikan.,Total Stock tidak dapat diubah. Perubahan di Total Stock akan diabaikan,Stok campaign tidak bisa diubah. Pelajari stok campaign selengkapnya di https://seller.tokopedia.com/edu/cara-atur-diskon-potongan-harga-os/,"Isi jumlah stok yang tersedia dalam format angka tanpa menggunakan koma dan titik. Stok akan berkurang ketika pembayaran dari pembeli telah diverifikasi. Jumlah stok tidak ditampilkan kepada pembeli. Jika kolom tidak diisi atau mengandung sesuatu di luar angka 1 hingga 999999, maka otomatis 1.","(Opsional) Masukkan SKU maks. 50 karakter.
 
SKU bisa diubah jika produk ini belum terjual.","Pilih status produk: Aktif atau Nonaktif

Jika kolom tidak diisi atau mengandung sesuatu di luar aktif atau nonaktif maka otomatis aktif.",Masukkan harga produk. Harga dalam rupiah tanpa menggunakan koma dan titik. Harga harus antara 100 - 10000000000000000,
,455343575,AS SHOCK SHOK DEPAN SMASH YUZAKA,https://tokopedia.com/bunshopz/as-shock-shok-depan-smash-yuzaka,100,0,100,,Aktif,103900,7f38c40847654936c38b
,455344948,AS SHOCK SHOK DEPAN SUPRA X YUZAKA,https://tokopedia.com/bunshopz/as-shock-shok-depan-supra-x-yuzaka,100,0,100,,Aktif,103900,19f4426a0bc066c52dfe
,455298238,AS SHOCK SHOK DEPAN VEGA R NEW YUZAKA,https://tokopedia.com/bunshopz/as-shock-shok-depan-vega-r-new-yuzaka,0,0,100,,Aktif,98900,8ec528e2ca9d16a9ba3f
,455282213,AS SHOCK SHOK DEPAN XEON CHOHO,https://tokopedia.com/bunshopz/as-shock-shok-depan-xeon-choho,100,0,100,,Aktif,90000,4edc7dcaa255d18e3658
,372027676,BAN LUAR SWALLOW 50 100 14,https://tokopedia.com/bunshopz/ban-luar-swallow-50-100-14,98,0,98,,Nonaktif,90000,d440e8c53d3b945bc606
,372026615,BAN LUAR SWALLOW 60 90 14,https://tokopedia.com/bunshopz/ban-luar-swallow-60-90-14,100,0,100,,Aktif,92000,7d8633b13aef033568e7
,1223048859,BBH HICAPA HI-CAPA ORIGINAL TM,https://tokopedia.com/bunshopz/bbh-hicapa-hi-capa-original-tm,1,0,1,,Nonaktif,235000,693947387d45fda97fb7
,566831950,BBH HOUSING EDGE HICAPA HI-CAPA 1911 MEU TM KJW WE,https://tokopedia.com/bunshopz/bbh-housing-edge-hicapa-hi-capa-1911-meu-tm-kjw-we,2,0,2,,Aktif,850000,d52074bdbc8d9b20f770
,906052565,BBH HOUSING EDGE HICAPA HI-CAPA 1911 Merah Red MEU TM KJW WE,https://tokopedia.com/bunshopz/bbh-housing-edge-hicapa-hi-capa-1911-merah-red-meu-tm-kjw-we,0,0,0,,Nonaktif,835000,e1a5750f512c75d0e224
,372548651,BLOK SEHER ATAU BORING BEAT ESP FI MILKUNI,https://tokopedia.com/bunshopz/blok-seher-atau-boring-beat-esp-fi-milkuni,10,0,10,,Aktif,297900,0ab52c7d376d26016456
