product_id,reason,name,url,variant,category_id,category,stock,stock_use,status,sku,price,price_currency,description,hash_key
1053661255,,Alat Pel Lantai Super Mop Athena Bolde Stainless,https://www.tokopedia.com/floeshop/alat-pel-lantai-super-mop-athena-bolde-stainless,,1020,Rumah Tangga ~ Kebersihan ~ Alat Pel,1,true,1,,"188,000",IDR,"Spesifikasi :
- Terdapat saluran pembuangan air di bawah.
- Tempat pemeras pel berbahan dasar bahan stainless steel.

Isi:
- Gagang Pel
- Ember
- Kain Pel (2 pcs)
- Botol Sabun",96dada78cd7f8523717321dcfd25cef1
882988392,,Alat Pel Lantai Supermop Bolde Double Side,https://www.tokopedia.com/floeshop/alat-pel-lantai-supermop-bolde-double-side,,1020,Rumah Tangga ~ Kebersihan ~ Alat Pel,9,true,1,,"235,000",IDR,"Spesifikasi:
Ember persegi, stainless steel

Isi:
-2 pcs Kain Microfiber
-1 pc Botol Sabun
-Lubang Pembuangan Air",ff284974ae5e4f5b0cad07c2cfb2a4e8
1125160568,,Alat Pel Lantai Timy Clean Spin Mop Stainless Steel,https://www.tokopedia.com/floeshop/alat-pel-lantai-timy-clean-spin-mop-stainless-steel,,1020,Rumah Tangga ~ Kebersihan ~ Alat Pel,11,true,1,,"120,000",IDR,"Spesifikasi :
- Terdapat saluran pembuangan air di bawah.
- Tempat pemeras pel berbahan dasar bahan stainless steel.

Isi:
- Gagang Pel
- Ember
- Kain Pel (2 pcs)",f6a6b27932b5718c18082a67aa1b2d84
1013954042,,Bangku / Kursi Anak-Anak Safari Zoo,https://www.tokopedia.com/floeshop/bangku-kursi-anak-anak-safari-zoo,,1043,Rumah Tangga ~ Furniture ~ Kursi,17,true,1,,"36,000",IDR,Untuk kursi hanya menerima pengiriman melalui gojek/grab,29b95e07947aa3c72185702398152b22
1013955478,,Bangku / Kursi Baso Napolly Kotak,https://www.tokopedia.com/floeshop/bangku-kursi-baso-napolly-kotak,,1043,Rumah Tangga ~ Furniture ~ Kursi,40,true,1,,"35,000",IDR,"Dimensi : 340 x 340 x 470 mm

Untuk kursi hanya menerima pengiriman melalui gosend/grab
",b339eabef1553869374fc22b94491ce9
1013956325,,Bangku / Kursi Baso Napolly Lebar / Persegi Panjang,https://www.tokopedia.com/floeshop/bangku-kursi-baso-napolly-lebar-persegi-panjang,,1043,Rumah Tangga ~ Furniture ~ Kursi,25,true,1,,"40,000",IDR,"Dimensi : 395 x 345 x 475 mm

Pengiriman hanya bisa Gosend/Grab karena ditakutkan rusak",f8127c4a28f064b3ea9a625907ca3db1
1013785679,,Bangku / Kursi Baso Plastik Model Rotan,https://www.tokopedia.com/floeshop/bangku-kursi-baso-plastik-model-rotan,,1043,Rumah Tangga ~ Furniture ~ Kursi,58,true,1,,"38,000",IDR,Pemesanan hanya untuk Gosend/Grab,1eb946f8477f7fb230ad4c2507d26fc3
1013802509,,Bangku / Kursi Pendek Bulat (Jojodog),https://www.tokopedia.com/floeshop/bangku-kursi-pendek-bulat-jojodog,,1043,Rumah Tangga ~ Furniture ~ Kursi,998,true,1,,"14,000",IDR,Pengiriman hanya dapat menggunakan Gosend/Grab,0a68e4e33bc9ec8554166490be9e6b69
1013790664,,Bangku / Kursi Pendek Persegi Panjang (Jojodog),https://www.tokopedia.com/floeshop/bangku-kursi-pendek-persegi-panjang-jojodog,,1043,Rumah Tangga ~ Furniture ~ Kursi,990,true,1,,"24,000",IDR,Orderan hanya untuk Grab/Gosend,ebacd09054a015ad250730e681a6caa5
1142144296,,Bangku / Kursi Pendek Plastik Model Rotan,https://www.tokopedia.com/floeshop/bangku-kursi-pendek-plastik-model-rotan,,1043,Rumah Tangga ~ Furniture ~ Kursi,23,true,1,,"24,000",IDR,"Ukuran (P x L x T): 25 cm x 22 cm x 25 cm

Pemesanan untuk gosend/grab maksimal 16 pcs per order

Untuk pemesanan ke luar kota minimal 4 pcs karena berat yang tertera pas dengan 4 kursi (akan kami packing dengan dus secara gratis)
",e6248b28cee191e2d25228904bc28443
